date,formatted_date(Y-M-D),inventory_of_houses_for_sale
1400803200000,2014-5-23,1259846
1401408000000,2014-5-30,1267406
1402012800000,2014-6-6,1267556
1402617600000,2014-6-13,1283404
1403222400000,2014-6-20,1304879
1403827200000,2014-6-27,1318983
1404432000000,2014-7-4,1312452
1405036800000,2014-7-11,1312264
1405641600000,2014-7-18,1322509
1406246400000,2014-7-25,1345303
1406851200000,2014-8-1,1335169
1407456000000,2014-8-8,1371714
1408060800000,2014-8-15,1366696
1408665600000,2014-8-22,1367950
1409270400000,2014-8-29,1367285
1409875200000,2014-9-5,1410181
1410480000000,2014-9-12,1372117
1411084800000,2014-9-19,1363471
1411689600000,2014-9-26,1357897
1412294400000,2014-10-3,1354017
1412899200000,2014-10-10,1347559
1413504000000,2014-10-17,1344360
1414108800000,2014-10-24,1344051
1414713600000,2014-10-31,1337775
1415318400000,2014-11-7,1301806
1415923200000,2014-11-14,1312791
1416528000000,2014-11-21,1310529
1417132800000,2014-11-28,1291627
1417737600000,2014-12-5,1272675
1418342400000,2014-12-12,1240757
1418947200000,2014-12-19,1220445
1419552000000,2014-12-26,1197383
1420156800000,2015-1-2,1172781
1420761600000,2015-1-9,1129988
1421366400000,2015-1-16,1139260
1421971200000,2015-1-23,1143307
1422576000000,2015-1-30,1150413
1423180800000,2015-2-6,1150799
1423785600000,2015-2-13,1160857
1424390400000,2015-2-20,1169387
1424995200000,2015-2-27,1172562
1425600000000,2015-3-6,1177965
1426204800000,2015-3-13,1189184
1426809600000,2015-3-20,1213148
1427414400000,2015-3-27,1202620
1428019200000,2015-4-3,1234258
1428624000000,2015-4-10,1242813
1429228800000,2015-4-17,1269141
1429833600000,2015-4-24,1288237
1430438400000,2015-5-1,1300700
1431043200000,2015-5-8,1313374
1431648000000,2015-5-15,1345328
1432252800000,2015-5-22,1362907
1432857600000,2015-5-29,1367794
1433462400000,2015-6-5,1370319
1434067200000,2015-6-12,1406603
1434672000000,2015-6-19,1417363
1435276800000,2015-6-26,1424018
1435881600000,2015-7-3,1427250
1436486400000,2015-7-10,1424506
1437091200000,2015-7-17,1451491
1437696000000,2015-7-24,1456956
1438300800000,2015-7-31,1461950
1438905600000,2015-8-7,1446846
1439510400000,2015-8-14,1457076
1440115200000,2015-8-21,1466484
1440720000000,2015-8-28,1469715
1441324800000,2015-9-4,1456358
1441929600000,2015-9-11,1445825
1442534400000,2015-9-18,1455109
1443139200000,2015-9-25,1440188
1443744000000,2015-10-2,1428180
1444348800000,2015-10-9,1406252
1444953600000,2015-10-16,1418062
1445558400000,2015-10-23,1421755
1446163200000,2015-10-30,1419053
1446768000000,2015-11-6,1385711
1447372800000,2015-11-13,1380298
1447977600000,2015-11-20,1364461
1448582400000,2015-11-27,1345855
1449187200000,2015-12-4,1318327
1449792000000,2015-12-11,1281508
1450396800000,2015-12-18,1264761
1451001600000,2015-12-25,1236114
1451606400000,2016-1-1,1216044
1452211200000,2016-1-8,1167101
1452816000000,2016-1-15,1178900
1453420800000,2016-1-22,1164788
1454025600000,2016-1-29,1161969
1454630400000,2016-2-5,1176808
1455235200000,2016-2-12,1178015
1455840000000,2016-2-19,1158291
1456444800000,2016-2-26,1164870
1457049600000,2016-3-4,1157871
1457654400000,2016-3-11,1170376
1458259200000,2016-3-18,1173901
1458864000000,2016-3-25,1175012
1459468800000,2016-4-1,1169069
1460073600000,2016-4-8,1174086
1460678400000,2016-4-15,1191836
1461283200000,2016-4-22,1221366
1461888000000,2016-4-29,1232544
1462492800000,2016-5-6,1229497
1463097600000,2016-5-13,1245902
1463702400000,2016-5-20,1258251
1464307200000,2016-5-27,1271021
1464912000000,2016-6-3,1271737
1465516800000,2016-6-10,1280283
1466121600000,2016-6-17,1301688
1466726400000,2016-6-24,1302814
1467331200000,2016-7-1,1311052
1467936000000,2016-7-8,1301511
1468540800000,2016-7-15,1309715
1469145600000,2016-7-22,1317929
1469750400000,2016-7-29,1319611
1470355200000,2016-8-5,1302144
1470960000000,2016-8-12,1309339
1471564800000,2016-8-19,1298081
1472169600000,2016-8-26,1290734
1472774400000,2016-9-2,1286820
1473379200000,2016-9-9,1271777
1473984000000,2016-9-16,1279274
1474588800000,2016-9-23,1283593
1475193600000,2016-9-30,1273636
1475798400000,2016-10-7,1252085
1476403200000,2016-10-14,1251793
1477008000000,2016-10-21,1246597
1477612800000,2016-10-28,1242042
1478217600000,2016-11-4,1233494
1478822400000,2016-11-11,1211865
1479427200000,2016-11-18,1196762
1480032000000,2016-11-25,1179040
1480636800000,2016-12-2,1158234
1481241600000,2016-12-9,1130803
1481846400000,2016-12-16,1110748
1482451200000,2016-12-23,1086375
1483056000000,2016-12-30,1061307
1483660800000,2017-1-6,1011249
1484265600000,2017-1-13,1013939
1484870400000,2017-1-20,1017322
1485475200000,2017-1-27,1017406
1486080000000,2017-2-3,1019195
1486684800000,2017-2-10,1018065
1487289600000,2017-2-17,1021113
1487894400000,2017-2-24,1027421
1488499200000,2017-3-3,1031247
1489104000000,2017-3-10,1039761
1489708800000,2017-3-17,1052637
1490313600000,2017-3-24,1063965
1490918400000,2017-3-31,1081700
1491523200000,2017-4-7,1083156
1492128000000,2017-4-14,1097337
1492732800000,2017-4-21,1102645
1493337600000,2017-4-28,1118786
1493942400000,2017-5-5,1122144
1494547200000,2017-5-12,1130650
1495152000000,2017-5-19,1153595
1495756800000,2017-5-26,1165250
1496361600000,2017-6-2,1168258
1496966400000,2017-6-9,1177903
1497571200000,2017-6-16,1188919
1498176000000,2017-6-23,1185729
1498780800000,2017-6-30,1199562
1499385600000,2017-7-7,1192344
1499990400000,2017-7-14,1203616
1500595200000,2017-7-21,1214651
1501200000000,2017-7-28,1219481
1501804800000,2017-8-4,1219926
1502409600000,2017-8-11,1207598
1503014400000,2017-8-18,1209661
1503619200000,2017-8-25,1211875
1504224000000,2017-9-1,1203824
1504828800000,2017-9-8,1190466
1505433600000,2017-9-15,1192656
1506038400000,2017-9-22,1192745
1506643200000,2017-9-29,1191325
1507248000000,2017-10-6,1177385
1507852800000,2017-10-13,1189938
1508457600000,2017-10-20,1173170
1509062400000,2017-10-27,1174020
1509667200000,2017-11-3,1164552
1510272000000,2017-11-10,1146166
1510876800000,2017-11-17,1135833
1511481600000,2017-11-24,1117008
1512086400000,2017-12-1,1092941
1512691200000,2017-12-8,1063303
1513296000000,2017-12-15,1049415
1513900800000,2017-12-22,1023743
1514505600000,2017-12-29,995814
1515110400000,2018-1-5,946777
1515715200000,2018-1-12,948289
1516320000000,2018-1-19,954143
1516924800000,2018-1-26,959547
1517529600000,2018-2-2,945457
1518134400000,2018-2-9,942802
1518739200000,2018-2-16,952054
1519344000000,2018-2-23,959429
1519948800000,2018-3-2,958961
1520553600000,2018-3-9,962068
1521158400000,2018-3-16,976266
1521763200000,2018-3-23,989335
1522368000000,2018-3-30,996528
1522972800000,2018-4-6,986902
1523577600000,2018-4-13,1001916
1524182400000,2018-4-20,1016339
1524787200000,2018-4-27,1022640
1525392000000,2018-5-4,1028648
1525996800000,2018-5-11,1044162
1526601600000,2018-5-18,1059516
1527206400000,2018-5-25,1075298
1527811200000,2018-6-1,1086080
1528416000000,2018-6-8,1095883
1529020800000,2018-6-15,1111161
1529625600000,2018-6-22,1118095
1530230400000,2018-6-29,1130241
1530835200000,2018-7-6,1123191
1531440000000,2018-7-13,1128571
1532044800000,2018-7-20,1142397
1532649600000,2018-7-27,1150801
1533254400000,2018-8-3,1153086
1533859200000,2018-8-10,1144762
1534464000000,2018-8-17,1155052
1535068800000,2018-8-24,1152173
1535673600000,2018-8-31,1151198
1536278400000,2018-9-7,1141891
1536883200000,2018-9-14,1158474
1537488000000,2018-9-21,1164512
1538092800000,2018-9-28,1169953
1538697600000,2018-10-5,1161671
1539302400000,2018-10-12,1166627
1539907200000,2018-10-19,1170230
1540512000000,2018-10-26,1168398
1541116800000,2018-11-2,1163560
1541721600000,2018-11-9,1147698
1542326400000,2018-11-16,1145733
1542931200000,2018-11-23,1133891
1543536000000,2018-11-30,1115832
1544140800000,2018-12-7,1092301
1544745600000,2018-12-14,1078515
1545350400000,2018-12-21,1065032
1545955200000,2018-12-28,1040610
1546560000000,2019-1-4,1004218
1547164800000,2019-1-11,1002570
1547769600000,2019-1-18,1015988
1548374400000,2019-1-25,1018927
1548979200000,2019-2-1,1008014
1549584000000,2019-2-8,1006193
1550188800000,2019-2-15,1015450
1550793600000,2019-2-22,1016849
1551398400000,2019-3-1,1015290
1552003200000,2019-3-8,1014863
1552608000000,2019-3-15,1024482
1553212800000,2019-3-22,1033310
1553817600000,2019-3-29,1037932
1554422400000,2019-4-5,1041770
1555027200000,2019-4-12,1059155
1555632000000,2019-4-19,1074366
1556236800000,2019-4-26,1079002
1556841600000,2019-5-3,1103838
1557446400000,2019-5-10,1115075
1558051200000,2019-5-17,1130566
1558656000000,2019-5-24,1155903
1559260800000,2019-5-31,1168151
1559865600000,2019-6-7,1157291
1560470400000,2019-6-14,1170611
1561075200000,2019-6-21,1184413
1561680000000,2019-6-28,1198407
1562284800000,2019-7-5,1171310
1562889600000,2019-7-12,1173571
1563494400000,2019-7-19,1184207
1564099200000,2019-7-26,1184722
1564704000000,2019-8-2,1186253
1565308800000,2019-8-9,1177480
1565913600000,2019-8-16,1177300
1566518400000,2019-8-23,1169621
1567123200000,2019-8-30,1177506
1567728000000,2019-9-6,1161677
1568332800000,2019-9-13,1172272
1568937600000,2019-9-20,1173159
1569542400000,2019-9-27,1173255
1570147200000,2019-10-4,1164862
1570752000000,2019-10-11,1155676
1571356800000,2019-10-18,1142728
1571961600000,2019-10-25,1135066
1572566400000,2019-11-1,1124940
1573171200000,2019-11-8,1101279
1573776000000,2019-11-15,1092699
1574380800000,2019-11-22,1077211
1574985600000,2019-11-29,1054493
1575590400000,2019-12-6,1025058
1576195200000,2019-12-13,1010994
1576800000000,2019-12-20,989599
1577404800000,2019-12-27,963297
1578009600000,2020-1-3,939775
1578614400000,2020-1-10,910029
1579219200000,2020-1-17,912979
1579824000000,2020-1-24,909953
1580428800000,2020-1-31,906644
1581033600000,2020-2-7,889791
1581638400000,2020-2-14,897164
1582243200000,2020-2-21,894778
1582848000000,2020-2-28,899652
1583452800000,2020-3-6,895684
1584057600000,2020-3-13,911660
1584662400000,2020-3-20,922472
1585267200000,2020-3-27,933359
1585872000000,2020-4-3,939096
1586476800000,2020-4-10,936044
1587081600000,2020-4-17,936127
1587686400000,2020-4-24,933436
1588291200000,2020-5-1,925204
1588896000000,2020-5-8,918435
1589500800000,2020-5-15,917289
1590105600000,2020-5-22,913667
1590710400000,2020-5-29,909545
1591315200000,2020-6-5,896553
1591920000000,2020-6-12,890417
1592524800000,2020-6-19,881257
1593129600000,2020-6-26,867215
1593734400000,2020-7-3,855711
1594339200000,2020-7-10,841312
1594944000000,2020-7-17,833564
1595548800000,2020-7-24,828889
1596153600000,2020-7-31,812835
1596758400000,2020-8-7,796027
1597363200000,2020-8-14,785134
1597968000000,2020-8-21,776946
1598572800000,2020-8-28,775265
1599177600000,2020-9-4,762606
1599782400000,2020-9-11,756708
1600387200000,2020-9-18,751676
1600992000000,2020-9-25,746724
1601596800000,2020-10-2,740659
1602201600000,2020-10-9,731938
1602806400000,2020-10-16,732895
1603411200000,2020-10-23,727574
1604016000000,2020-10-30,720070
1604620800000,2020-11-6,703873
1605225600000,2020-11-13,698212
1605830400000,2020-11-20,686926
1606435200000,2020-11-27,668446
1607040000000,2020-12-4,645553
1607644800000,2020-12-11,629479
1608249600000,2020-12-18,611633
1608854400000,2020-12-25,589640
1609459200000,2021-1-1,566060
1610064000000,2021-1-8,536065
1610668800000,2021-1-15,525964
1611273600000,2021-1-22,513341
1611878400000,2021-1-29,497378
1612483200000,2021-2-5,482322
